,Bigrams,Bigram Freq,Source
2,sheet music,148,musow
0,oral history,104,mji
25,music archive,76,musow
18,music archive,52,mji
3,music collection,46,musow
7,music library,44,musow
29,digital collection,36,musow
16,black music,34,mji
33,sound recording,34,musow
26,music magazine,34,mji
22,digital library,32,musow
17,midi file,30,musow
1,history project,30,mji
1,early music,28,musow
21,audio file,24,musow
18,early edition,20,musow
10,sound archive,20,mji
15,music information,20,musow
3,african american,20,mji
27,digital archive,18,musow
7,audio video,18,mji
25,archive collection,16,mji
15,history collection,16,mji
5,american music,16,mji
12,digital edition,16,musow
32,music culture,16,mji
22,music history,14,mji
17,music research,14,mji
12,country music,14,mji
34,musical score,14,musow
13,digital collection,14,mji
30,collection digitized,14,musow
9,digital score,14,musow
5,collection online,14,musow
8,library digital,14,musow
13,song dataset,14,musow
14,archive feature,14,mji
26,archive collection,14,musow
28,american sheet,14,musow
23,library music,12,musow
2,music oral,12,mji
32,collection music,12,musow
30,art culture,12,mji
10,score collection,10,musow
8,video interview,10,mji
4,online collection,10,musow
27,digital archive,8,mji
28,video recording,8,mji
24,music collection,8,mji
0,digital project,8,musow
11,american jazz,8,mji
16,dataset dataset,8,musow
6,digitized score,8,musow
11,online database,8,musow
34,archive digital,8,mji
20,archive magazine,6,mji
21,history culture,6,mji
31,digitized sheet,6,musow
23,audio archive,6,mji
24,score music,6,musow
9,jazz music,6,mji
19,edition digital,6,musow
19,audio interview,6,mji
14,manuscript database,6,musow
29,collection archive,6,mji
4,sound music,6,mji
31,radio archive,6,mji
6,history american,6,mji
33,university archive,6,mji
20,edition score,6,musow
