,Most Common KW,KW Freq,Bigrams,Bigram Freq
0,co,723,digital humanity,463.0
1,http,591,humanity project,26.0
2,digital,559,project http,12.0
3,humanity,501,http co,591.0
4,n,309,nhttps co,118.0
5,nhttps,118,humanity http,37.0
6,project,98,n n,44.0
7,amp,73,humanity digital,8.0
8,research,64,amp digital,15.0
9,study,53,humanity work,6.0
10,digitalhumanities,47,humanity research,14.0
11,data,45,n nhttps,54.0
12,history,42,n digitalhumanities,11.0
13,dh,41,join u,14.0
14,work,41,digital project,9.0
15,2021,39,study digital,9.0
16,open,39,humanity amp,9.0
17,university,35,u http,6.0
18,u,31,humanity n,16.0
19,researcher,30,conference digital,6.0
20,library,28,work http,8.0
21,student,28,,
22,online,28,,
23,join,25,,
24,post,25,,
25,professor,24,,
26,1,24,,
27,conference,24,,
28,job,22,,
29,week,22,,
30,2,21,,
31,time,21,,
32,apply,21,,
33,2022,21,,
34,cultural,21,,
