,Most Common KW,KW Freq,Bigrams,Bigram Freq
0,music,2474,archive library,10
1,collection,1358,project music,8
2,archive,1002,online collection,14
3,recording,740,collection score,6
4,library,658,music collection,74
5,n,574,collection online,14
6,audio,522,online database,10
7,file,448,score collection,6
8,history,420,song dataset,6
9,score,390,digital archive,28
10,song,390,dataset annotation,6
11,musical,380,song The,6
12,project,348,music information,52
13,work,348,audio file,56
14,material,336,digital library,32
15,research,336,library music,12
16,sound,336,sound collection,14
17,digital,304,music manuscript,26
18,information,298,music archive,98
19,online,298,sound recording,104
20,university,292,recording musical,8
21,manuscript,284,musical score,20
22,dataset,278,manuscript collection,10
23,format,266,digital collection,40
24,record,262,sound file,16
25,american,260,collection digital,10
26,data,256,music score,40
27,century,256,music library,104
28,The,254,collection university,14
29,database,232,manuscript score,14
30,jazz,230,score library,10
31,performance,226,information song,6
32,composer,220,material library,6
33,annotation,218,song music,8
34,public,218,score audio,6
