user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
reactbitcoin,2022-04-14 14:27:57+00:00,en,1,0,0,0,"The Echo Nest Taste Profile subset, the official user data collection for the Million Song Dataset, contains the full music listening histories of one million users on Echo Nest. #FoxBusiness #blackrockgate",
EngineerRabbit,2022-04-07 20:02:33+00:00,ro,30,0,5,2,"17. PANGEA: Informações de agricultura
https://t.co/F1QnKkYd6u

18. Common Craw
https://t.co/NEVPykr0cL

19. Stanford Large Network Dataset
https://t.co/LbKWsnaDNk

20. Million Song Dataset: musicas
https://t.co/Bdw5qVyNVk

21. Harvard
https://t.co/aM05EHxkmK","https://doi.pangaea.de/10.1594/PANGAEA.909132, https://commoncrawl.org/the-data/examples/, http://snap.stanford.edu/data/, http://millionsongdataset.com/, https://dataverse.harvard.edu/"
DataScienceDojo,2022-04-05 16:04:49+00:00,en,0,0,1,0,"Audio:
1. Million Song Dataset
2. https://t.co/xPGslZoO2s
3. A Collection Of Speech Corpus For ASR And TTS
4. Voxceleb
5. Hate Speech Corpus
6. https://t.co/7P3h6twSKm
7. Korean Read Speech Corpus
8. Voice_datasets By Jim-Schwoebel
9. Common Voice
10. Audioset","http://Openslr.Org, http://Voxforge.Org"
