user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
LazyFreezePop,2022-01-30 23:06:44+00:00,en,0,0,0,0,"Re-watching #Ducktales, and wondering when we’ll get a release of the musical score. So good!",
LisaRWhittle,2022-01-30 22:53:30+00:00,en,12,0,4,0,"Watching the Janet Jackson documentary…she was it for me. Not Mariah. But Janet. Janet and Whitney, before her. Those two women were the musical score throughout a lot of my young womanhood. (On the Christian side, Amy Grant. Always Amy.)

Who was it for you?",
LouLouLa10,2022-01-30 22:31:41+00:00,en,1,0,0,0,@longsally Amazing musical score and incredible storyline.,
i7lyricsbot,2022-01-30 21:47:47+00:00,en,0,0,0,0,Carrying the feeling that I want to send I wrote it into the musical score,
batleyrhino,2022-01-30 21:28:28+00:00,en,3,0,0,0,"@AshWoody90 By far the best thing on TV, beautifully written and acted, with a musical score that emphasises all our emotions. I’ve been in bits all week about the clip of Phyllis, only to be relieved and then heartbroken within minutes. Phyllis Crane you bloody well better come back! ",
SeekingArtistry,2022-01-30 20:36:11+00:00,en,0,0,0,0,Musical score when painting was Kate Bush and BADBADNOTGOOD.,
bovidae_,2022-01-30 19:33:03+00:00,en,1,0,0,0,"And juxtaposed to the accelerating swell of the musical score
Pushes it's audience to realize just what is ahead https://t.co/eEIAhjJhyn",
InvertedMrRobot,2022-01-30 19:32:30+00:00,en,0,1,0,0,"Opening scenes &amp; Musical Score of Squid Game Season 1 episode 9 is brilliant.

Works on nostalgia, allowing you, the viewer to remember &amp; relate more to the characters.

Except your were never interested in that.

Hard &amp; Good work.",
Warayemon,2022-01-30 18:39:56+00:00,en,0,0,0,0,"@LeCinephiles Cape Joker. A remake of Batman (1989) with special permission by Danny Elfman to use the same musical score. Joker has lots of tattoos, a very unsettling scene where he manages to seduce Vicki Vale and Bruce Wayne is much more flawed and doesn't get on as well with Alfred.",
KevG163,2022-01-30 17:46:10+00:00,en,30,1,2,7,"The #Dolphins' Fulton Walker takes it 98 yards to the house just before halftime of Super Bowl XVII — the first kickoff return touchdown in Super Bowl history.

Set to the musical score of Craig Palmer's ""Trackdown"", one of my favorite NFL Films themes

OTD in 1983 https://t.co/7UFaB1IpVD",
