user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
Anna_Lisa_0,2022-01-30 23:46:41+00:00,en,0,0,0,0,"The ""Ink Panda"" Chinese New Year Folklore Series Digital Collection will be officially launched on New Year's Eve at 12:08pm, created by Zhang Dahua, the pioneer of Chinese contemporary Zen painting and special master of the 2022 Winter Olympic Games, together with the Zhongguo",
muslimahsamiyah,2022-01-30 23:46:24+00:00,en,10,0,2,4,"""The United States and Britain created the phony state of Israel to maintain domination over the wealth and strategic position found in the Middle East, and they did this at the expense of the Palestinian people."" Donald L. Cox (Field Marshal DC) BPP, 1971 https://t.co/QfkZZeKQ8j https://t.co/37RvhwGbrg",https://content.wisconsinhistory.org/digital/collection/p15932coll8/id/50547/rec/42
ai6yrham,2022-01-30 23:44:23+00:00,en,26,0,2,1,"Also, it was not a ""barren wilderness"" in 1970.  The Conejo Valley was already a hugely populated suburb. Here's the same freeway area in 1972, two years later. https://t.co/EXVMSqd92v https://t.co/DEV74IUBmV",https://contentdm.tolibrary.org/digital/collection/p17352coll1/id/133/rec/18
green_stone420,2022-01-30 23:13:35+00:00,ja,0,0,0,0,【乃木坂46 Mobile】山崎怜奈【1】が当たりました！みんなにシェアしてね♪ #乃木坂46 #バレンタイン #PinkValentine https://t.co/Ape9RctUHn,https://sp.nogizaka46.com/qr?i=mbtw_valentine2022
OwletArt,2022-01-30 23:12:09+00:00,en,1,0,1,0,"While the physical artwork no longer exists, the digital collection will live on for eternity. @opensea",
JordanRyanArch,2022-01-30 22:58:23+00:00,en,9,0,2,0,"Me, just searching for architectural images and somehow this illustration pops up in my search results:

Oh, the things you find when you're searching for something completely different! 

1886 Indpls Maennerchor program via @IUPUILibrary  
[Link: https://t.co/N4ACpoFKkO] https://t.co/dFQkmSdKdm",https://indianamemory.contentdm.oclc.org/digital/collection/Maennerchor/id/4226/rec/1
CGIARnutrition,2022-01-30 22:56:49+00:00,en,2,0,2,0,"@nissen_bodil @CGIAR @A4NH_CGIAR Oh no! @nissen_bodil, thanks for letting us know that the links don't work for you.

Here are the direct links to the report:
https://t.co/S2nWiCxRHP
https://t.co/UP9gfdNWjk

Reach out if you continue to have trouble.","https://on.cgiar.org/3G7J6aQ, https://on.cgiar.org/3gccOkg"
GStufferNFT,2022-01-30 22:31:09+00:00,en,2,0,0,0,@duubdigital @ZooFarming @opensea @CryptoRedryan @WanPunks We'll be ready when the Dub Digital collection finally drops! Be sure to check us out if you are doing some more shopping  https://t.co/x2kqGBM4Tt,
LVCCLD,2022-01-30 22:30:02+00:00,en,2,0,0,1,"Thank you @UrbanLibCouncil for naming our Library District as the 2021 #ULCInnovations Honorable Mention for our dynamic new partnership with @RTCSNV!  Learn more about how you can access our digital collection anytime, anywhere:  https://t.co/CXaJeKc7iQ #LibrariesDoThat https://t.co/aERavd3TxN",https://bit.ly/3rMbNVH
colohistory,2022-01-30 22:01:08+00:00,en,8,1,0,0,"Young men and women climb fences and ramps at Mile High Stadium in Denver, Colorado at Barry Fey's Denver Pop Festival rock concert. (1969) https://t.co/9TdR7Yk2ae https://t.co/79GFdTghAm",https://digital.denverlibrary.org/digital/collection/p15330coll22/id/64564
DavidZelaya17,2022-01-30 21:57:24+00:00,en,3,0,0,0,"Reading @OschwaldBen's monograph on Russia's way of war; ran across this gem, ""Russia understands how essential information operations are in peace and war."" 

War and Peace as manifestations of the same thing. I think Tolstoy would agree. Great Read.

https://t.co/5399nIyDIU",https://cgsc.contentdm.oclc.org/digital/collection/p4013coll3/id/4244/rec/1
Every3Minutes,2022-01-30 21:57:03+00:00,en,0,0,0,0,"A person was sold about every 3 minutes in the antebellum era. One was called Charles. 

https://t.co/DfAATC5XDd https://t.co/tVFetgsDfP",http://cdm16948.contentdm.oclc.org/cdm/compoundobject/collection/p16948coll6/id/1070/rec/2
BDolanSFR,2022-01-30 21:34:00+00:00,en,1,0,1,0,"@PrettyHatMech @AppleMusic @Bandcamp @Spotify I've gone deep down the 'safe storage for my digital collection' wormhole. I ended up getting a network storage drive accessible from every device in the house, which can also be backed up to a cloud.  I'm told that type of redundancy is the move for truly safe portable storage.",
HistoryNevada,2022-01-30 21:05:00+00:00,en,6,0,0,0,"The team from Cannon Air Force Base in New Mexico won the annual ""Super Bowl"" of weapons loading competitions at Nellis Air Force Base in North Las Vegas, NV on Jan 30, 1974. https://t.co/VU5fElEEYn https://t.co/R8BjCU9Bd9",http://bit.ly/2Ys4Vyf
artyouthink,2022-01-30 20:44:37+00:00,en,2,0,0,0,"soon release a digital collection of pepe
hope you guys support this art to grow me on @withFND, I remember the name who support me very first day 

https://t.co/ir2pk8lGzg
@jaggedsoft 

#NFTCommunity #nftart #NFTartists #FND #pepe #PepeUniverse",https://foundation.app/@artyouthink/foundation/132625
HistoryNevada,2022-01-30 20:39:00+00:00,en,4,0,0,0,"UNLV Digital Collections has a photo of what I believe is Reno High grad Buzz Morrison (not Monison) and his bi-plane in Las Vegas, NV taken on Jan 30, 1929. Morrison was an aviator born in Reno, NV. Buzz helped with aerial photos and took some passengers. https://t.co/9ezEYN29oM https://t.co/pTXy5fi8vR",http://bit.ly/36utX4u
AldenLibDigital,2022-01-30 20:25:04+00:00,en,7,0,0,1,"Lots of tennis talk in the news lately, so it's a perfect time to share some of the contents from the Women's Tennis Club scrapbook for #ScrapbookSunday. The content is from the 1965-66 academic year and includes news clippings and photos from the season. https://t.co/eHKyl6tiBM https://t.co/2QW9kxU0gN",https://bit.ly/TennisScrapbook65
Every3Minutes,2022-01-30 20:06:02+00:00,en,0,0,0,0,"A person was sold about every 3 minutes in the antebellum era. One was called Eliza. 

https://t.co/wvm7rIC7Jj https://t.co/CjKLLVAPpL",http://cdm16948.contentdm.oclc.org/cdm/singleitem/collection/p16948coll6/id/962/rec/35
colohistory,2022-01-30 20:01:17+00:00,en,4,0,0,0,A dirt road stands in the foreground of This view from the summit of Berthoud Pass on the border of Grand and Clear Creek counties in Colorado. (1915-1930?) https://t.co/ys1sn8WjHP https://t.co/d9pdtwlGyU,https://digital.denverlibrary.org/digital/collection/p15330coll22/id/74789
LVCCLD,2022-01-30 20:00:06+00:00,en,1,0,0,1,"Enjoy FREE ebooks, audiobooks, magazines &amp; movies while you ride @RTCSNV ! Download the easy-to-use @LibbyApp, select the Las Vegas-Clark County Library District &amp; enjoy 24/7 access to our digital collection — anytime, anywhere ! https://t.co/qQWwo4Y9lc #MyLibraryOnRTC https://t.co/a8L4Il9mvf",https://bit.ly/3kd1Q0Q
HistoryNevada,2022-01-30 19:47:00+00:00,en,13,0,0,0,"UNLV Digital Collections photo showing construction of one of the diversion tunnels at what would be the Hoover Dam as it appeared on Jan 30, 1932. https://t.co/B9TFm2r2I8 https://t.co/sRUQ51Ry2I",http://bit.ly/3pCTrUH
MTJ08172762,2022-01-30 19:44:21+00:00,en,1,0,1,0,"@itsmikeytho Yeah, i feel like everything is slowly going towards all digital (games are the last basically)...

My digital collection is often some rare games, i'm not into physical games like i was in the past...but i buy it when i love the studio/game (viz. Fromsoftware or Technand)",
boygobong,2022-01-30 19:35:36+00:00,en,0,0,0,0,"Huh. (They ran a thin layer of milk on a flat plate under a UV light on the way to the evaporator. No opinion on whether that actually works to create bioavailable vitamin D.)
https://t.co/bsWdF5QNUu https://t.co/rPNswSM25S",https://digital.tcl.sc.edu/digital/collection/jmetz/id/756/
bigcar,2022-01-30 19:24:50+00:00,en,0,0,0,0,Home | Fluxus Digital Collection https://t.co/1PPvlCIfvd,http://fluxus.lib.uiowa.edu/home.html
CPLFoundation,2022-01-30 19:15:03+00:00,en,2,0,0,0,"#SundaySlowdown. When it comes to music, there’s no place like Chicago. Do you agree?

Browse the classics from marches to waltzes and of course, jazz, in The Old Pops Sheet Music Digital Collection (and see these vintage album covers) here: https://t.co/UFb9JnQBLP https://t.co/VATJnyYgza",https://bit.ly/3GTZxsC
OTMbotic,2022-01-30 18:31:50+00:00,en,1,0,0,1,"Pretty Baby Won't You Dance
https://t.co/vBAoEcLnN3
Banjo music played and sung by Virgil Anderson at the Berea College Celebration of Traditional Music 10/30/82.",http://dla.acaweb.org/cdm/ref/collection/berea/id/2972
CALSRobertsLib,2022-01-30 18:30:39+00:00,en,1,0,0,0,"St. Edward's School &amp; Hall, LR, AR., ca. 1925.

Pulaski County religion photo coll (BC.PHO.2.A.12)

Explore more photos like this at https://t.co/rRFLcPUibp

#fromthearchives #ArkansasHistory #explorearchives #yourlibraryyourhistory #NationalCatholicSchoolsWeek #CatholicSchools https://t.co/JlPrpiclUZ",https://cals.click/PulaskiCoReligionPhotos
