user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
rocksound,2022-05-01 20:00:00+00:00,en,26,2,0,5,Fall Out Boy tell us who they each think is the most talented member of the group in this clip from the Rock Sound archive https://t.co/49LuvfCxDY,
Omega_Morris123,2022-05-01 19:51:02+00:00,en,1,1,0,1,Should I upload the tracks that appear in Sonic Speed Simulator (Roblox) to their own playlist on the Sonic Sound Archive?,
Omega_Morris123,2022-05-02 19:00:01+00:00,en,3,0,1,0,"Sonic Speed Simulator is now on the Sonic Sound Archive!

I will keep the playlist updated as more music is added to the game.
https://t.co/SCmzsu7m2W",https://www.youtube.com/playlist?list=PLfeMZceyAvdDnvXcmPBuKuYEhTowPYSRN
bentley_priory,2022-05-02 13:31:02+00:00,en,0,0,0,0,"Join us on Friday 20 May when speakers from @AeroSociety will be sharing some fascinating material from the National Aerospace Library’s film, sound &amp; archive collections.
Find out more &amp; book a place here: https://t.co/5gFUsL2oDT
Included in Museum Admission / Annual Membership. https://t.co/1UpOKNq9rZ",https://buff.ly/3kd8eVb
SouthseaCinema,2022-05-03 22:22:05+00:00,en,0,0,0,0,"Our first films: Wessex Film and Sound Archive Film screening with commentary,  Dune(2021)   La Belle Epoque (2019)  Citizen Kane (1941) Drive My Car (2021)  
https://t.co/lT8b3rbjRQ
#southseacinema #lovefilms https://t.co/HwVtjDFNKV",https://southseacinema.co.uk/whats-on/
phenocine,2022-05-03 15:27:04+00:00,en,0,0,0,0,"From the Sight and Sound archive: Flickers (by Chris Petit, 1993) https://t.co/NAgzUiRxkI",https://www.bfi.org.uk/sight-and-sound/features/flickers
una____isla,2022-05-03 02:54:51+00:00,es,5,0,0,0,aquí he vivido los últimos días https://t.co/0iVLGZEUzc,https://www.nts.live/shows/british-library-sound-archive
una____isla,2022-05-03 01:45:04+00:00,es,2,0,0,0,ya vámonos a dormir https://t.co/gzbHwuUrb8,https://www.nts.live/shows/british-library-sound-archive/episodes/at-the-waters-edge-13th-december-2018
richardmorpeth,2022-05-04 18:41:04+00:00,en,3,0,0,0,@MojoWellington @JonTrevithick @EricIdle I have the entire RWT series as BOTH video &amp; audio files. Part of a set of Neil Innes Sound Archive DVDs that I have.,
soundartist,2022-05-04 11:39:49+00:00,en,2,0,0,0,"30th May, Central Library, Manchester. Presenting brand new commissioned work at Archives+.

""Free event at the library! Come to our final Sound Archive event in the last week of the project. There’ll be incredible performances of creative works that use newly unlocked archi… https://t.co/SFaWsrXctG",
tjthewizard2002,2022-05-04 10:02:22+00:00,en,0,0,1,1,"for anyone who still cares the game boy sound archive is almost completed
i just need to check every file to see if it has sound effects or not and mark them ""[SFX]"" if they do
that part is about 25% complete, after that i just need to do some last minute clean ups and i'm done",
sandrashevey,2022-05-04 06:48:34+00:00,en,2,0,0,0,@RegentStCinema Interviewed Francois Truffaut in the Seventies..part of the Sandra Shevey Oral History Sound ARchive..sandrasheveyinterviews YouTUbe (subscribe to our channel),
Olaf_HB,2022-05-05 17:19:05+00:00,en,12,0,0,2,KUDOS to empathy test &amp; well done to the british library sound archive! :-) / this makes an archivist's heart (like mine) rejoice indeed! :-) https://t.co/OFviAG8tKD,
wonderkrisp,2022-05-05 14:11:44+00:00,en,1,0,0,0,@BadSocialism @TrekCore Their sound archive is amazing…,
empathytest,2022-05-05 13:15:41+00:00,en,181,4,14,14,"We still have NO record label, NO management, NO PR or social media teams, but today we were asked to donate our full discography on vinyl, CD &amp; digital formats, to The British Library's Sound Archive, so it can be ""preserved &amp; accessed, for many generations to come"". Fuck yeah!",
BL_Classical,2022-05-05 08:12:38+00:00,en,14,1,0,4,Programme notes and text translation on the reverse of this 1911 disc from the recently acquired vocal collection of David Woolf.  Amazing to acquire 2300 discs not held by @britishlibrary Sound Archive! https://t.co/6fZgwsAnR7,
