user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
pereirajef12,2022-06-08 23:40:43+00:00,en,0,0,1,0,"hey .@NeilYoungNYA puts their music collection on .@TIDAL .@TIDALSupport, in the highest possible quality (24bits/192khz), remastered and in .@MQAMusic, they invest a lot in the artist and value his work! I thank",
hina_momo_og,2022-06-08 23:40:39+00:00,ja,0,0,0,0,"【予約】「MANKAI STAGE『A3！』ACT2！ ～SPRING 2022～」MUSIC Collection/春組（MANKAI STAGE）
エーステ　エースリー　95

発売日： 2022/7/6

https://t.co/52Sz2BUc7l",https://al.dmm.com/?lurl=https%3A%2F%2Fwww.dmm.com%2Fmono%2Fcd%2F-%2Fdetail%2F%3D%2Fcid%3Dcd_244pccg2150s%2F&af_id=shoutneko-013&ch=toolbar&ch_id=link
abatagestudios,2022-06-08 23:30:03+00:00,en,0,0,0,0,"Metallic Spheres (2010 / 0:49) by The Orb Featuring David Gilmour

I'm putting my music collection on shuffle and drawing whatever album plays next. The only rule is to finish the drawing before the album ends! These are my BADLY DRAWN ALBUM COVERS!

#theorb #davidgilmour https://t.co/70a9HWbqZu",
ValeryanVal,2022-06-08 23:16:01+00:00,en,0,0,0,0,"#Lovinthisfabulousplaylist https://t.co/fEgyFJDDRR
June2022 Most Popular Music Collection
#Thanksforincludingmysong https://t.co/JJRIA5eL5S Please follow me","https://open.spotify.com/playlist/1jOEUH5auQi2qh2J9fr0bX?si=51e997a7954049c1, https://open.spotify.com/track/1l2LOGmZOXD9pwOBDMwKTH?si=f75da9fdde7e4eb1"
ARealHumanName1,2022-06-08 23:10:37+00:00,en,1,0,0,1,"Good Evening Lads,
Check out this fire asset by Muz Station Productions
https://t.co/34DBibGF3E 

#gamedev #assetStoreunity3d",https://assetstore.unity.com/packages/audio/music/orchestral/total-music-collection-89126?aid=1011l7qkc
ValeryanVal,2022-06-08 23:09:46+00:00,en,0,0,0,0,#Lovinthisplaylist https://t.co/aBa1upZhug June 2022-#Most Popular Music Collection,https://open.spotify.com/playlist/1jOEUH5auQi2qh2J9fr0bX?si=23026355203a40d1
hina_momo_og,2022-06-08 22:20:41+00:00,ja,0,0,0,0,"【予約】「MANKAI STAGE『A3！』ACT2！ ～SPRING 2022～」MUSIC Collection/春組（MANKAI STAGE）
#エーステ　#エースリー　33

発売日： 2022/7/6

https://t.co/52Sz2BUc7l",https://al.dmm.com/?lurl=https%3A%2F%2Fwww.dmm.com%2Fmono%2Fcd%2F-%2Fdetail%2F%3D%2Fcid%3Dcd_244pccg2150s%2F&af_id=shoutneko-013&ch=toolbar&ch_id=link
TheMindOfSlyme,2022-06-08 22:06:57+00:00,en,7,1,0,4,"Big homie @napoleon_tez shares his music collection to @itslels &amp; they pick up ""Worthy"" from @flynnpnw for the first secondary sale 

Thank you all for being involved with this one

https://t.co/I3DCv3nRag

""Worthy"" now a 5 $XTZ floor https://t.co/xKCiK03iKy",https://objkt.com/asset/hicetnunc/437646
pckun11,2022-06-08 22:01:41+00:00,ja,2,0,0,0,朝、目覚めに心地よい～活力が出るクラシック名曲集・Morning Classical Music Collection（長時間作業用BGM)5時間25分　https://t.co/G3N5eI65Oh,http://bgm18.sblo.jp/article/185336366.html
eacoonwotona,2022-06-08 21:54:25+00:00,ja,0,0,0,0,"速報   

Amazon人気商品ランキングのご案内

◇【Amazon限定】「MANKAI STAGE『A3!』ACT2! ~SPRING 2022~」MUSIC Collection(メガジャケ付)
https://t.co/dJdBi29Ohs

その他、タイムセール商品",https://www.amazon.co.jp/dp/B09YHFMQH4?tag=ngtbfmfund-22&AssociateTag=ngtbfmfund-22&linkId=b5c228da3cc209e93f6bf3e2c19e9481
