user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
himekoyade,1532853830207311872,2022-06-03 22:36:46+00:00,ja,0,0,0,0,電気グルーヴのSound &amp; Recording 〜PRODUCTION INTERVIEWS 1992-2019 (日本語) ムック ･･･下唇を噛んで発音するんやで「ヴ！！！」 https://t.co/qld4AsTwgk,https://amzn.to/2FsY7XP
NigelHeal,1532848646655459328,2022-06-03 22:16:10+00:00,en,0,0,0,0,@WhittallClive @NadineDorries Really Nads?? The camera doesn't lie (nor does the sound recording!) !!,
Justbehonest151,1532848171629543424,2022-06-03 22:14:17+00:00,en,11,0,1,0,"@hrrysgreysuit I think the separation between the entrances of the hackles and everyone else was to separate any reaction to them, so it couldn't be attributed to others, and to ensure no joint photo opportunities or risk of sound recording private conversations",
Angela_J_Bailey,1532837595700420609,2022-06-03 21:32:16+00:00,en,0,0,0,0,"@MacScotland4 @thamesweb @DocumentsC @dugdale1863 @trevburnip @rogerkb2012 @LadyJules_Cath @vicderbyshire @BorisJohnson @BBCNews Plus I have worked for the BBC, and have a lot of good things to say in defence of it. This was just one thing I noticed that was a bit different from the live sound recording compared to other recordings. I actually have worked as a broadcast sound recordist.",
Gary_D_Woodburn,1532833381041557504,2022-06-03 21:15:31+00:00,en,39,0,1,6,Here is a short sound recording of the common rosefinch from @EmbletonQuarry yesterday evening. https://t.co/HcaWFNRscC,
everyTitleCincy,1532826974040768513,2022-06-03 20:50:03+00:00,en,0,0,1,0,"Soccer On Sunday [sound Recording]—Osborne, Mary Pope.
2014
Juvenile Book on CD | cd-spoken fiction osborne
items: 17 | circs: 743 | last circ: 5/2022
magic fiction juvenile sound recordings,juvenile sound recordings magic fiction,juvenile sound recordi... https://t.co/UrdIhU5luG",https://cincinnatilibrary.bibliocommons.com/v2/record/S170C2947670
PelagiusRobert,1532820892824346628,2022-06-03 20:25:53+00:00,en,0,0,0,0,WTF Was That Sound? Recording A Video And Heard Something Creepy https://t.co/W8ShbOQBex via @YouTube. Even wearing really sensitive earphones I had to listen several times to pick up a portion! Here’s hoping you can get better. I’m really sick and my hearing is all mucked up..,https://youtu.be/-9uZxf28xLc
Likebeinghones1,1532819022588399623,2022-06-03 20:18:28+00:00,en,4,0,4,0,"@Streakyblue1951 @polgara28951124 @NadineDorries There are a few versions . They are really mixed. Unlike photos, sound recording is really depending on how close you are to the source and the frequency of the sound. BBC’s journalist might be closer to the cheering ones, but I definetely heard a few versions of boos.",
nick_bunker,1532804801372770304,2022-06-03 19:21:57+00:00,en,15,0,4,2,"  The Motion Picture and Sound Recording Industries subsector is only 6,000 jobs away from its Feb 2020 employment level. 

Everyone go see a movie this week! And next week. And the week after that.",
229Richard,1532791878743207936,2022-06-03 18:30:36+00:00,en,53,0,1,4,@kazbahellis @PauljePaul @KarlTurnerMP Yes selective sound recording and reporting can’t trust Sky and BBC at all,
