user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
RMCarpiano,2022-05-31 22:53:50+00:00,en,4,0,1,0,Youtube really is a treasure of a music archive. This popped up in my suggestions... Was rather unfamiliar w/ Wendy &amp; Lisa's catalog until now. Fun show w/ a sound that shows off &amp; moves beyond their Revolution (Prince's backing band) days. Great musicians https://t.co/PBQPBtm59S,https://www.youtube.com/watch?v=u1h7WsOW9oI
RadioSparx,2022-05-31 18:58:00+00:00,en,0,0,0,0,"Celebrate #NationalSmileDay with ​DISQUIET MUSIC's beautiful, heartwarming #FolkRock ​song from a father to his son, ""​SMILE,"" on ​our ""ACOUSTIC AMBIENT"" station​ @RadioSparx: https://t.co/KEPw6pGK8P.​

​​​Our #FreeTrial will make you SMILE! ​https://t.co/0KAHzLNSu8 https://t.co/RQgs84ykpS","https://www.radiosparx.com/music/archive/Rock/Folk-Rock/Smile/920424, https://www.radiosparx.com/default.cfm/pl.1418"
fogelnet,2022-05-31 14:27:26+00:00,en,0,0,0,0,"Grateful Dead from Sat, May 31, 1980 at Metropolitan Sports Center on Live Music Archive! https://t.co/xK50AU5lu0",https://livemusicarchive.app/music/artists/GratefulDead/recordings/gd1980-05-31.set2.sbd.miller.91763.sbeok.flac16
MightyJerkules,2022-05-31 10:14:51+00:00,en,0,0,1,0,@KWilliamWhite @IndieYfm I have a SoundCloud music archive from 1994-2022.  It’s a pro membership so I have one of those spotlight thingys with what I think are my best songs at the top.  https://t.co/4gAUUpeGxc,http://SoundCloud.com/deathofcool
FromBrazier,2022-05-31 06:55:41+00:00,ja,0,0,1,0,"@X_JAPAN_hide_L Its lyrics are not the easiest one! I was aware that part of the lyrics are engraved on his memorial, but I didn't know it was the same that I had chosen (for me only one verse, starting with 蔦は絡まり). If you sometimes have time, please read my story: https://t.co/TKmeXlLBZF",https://talesfromthebraziersgrotto.wordpress.com/2021/10/21/music-archive-part-vi-hide-with-spread-beaver-hurry-go-round-universal-victor-1998/
DeshunJackson9,2022-05-31 02:46:40+00:00,en,2,0,0,1,@michaelstomford The black music archive has a great video on toni braxton and how lupus impacts her career as a singer. It apparently impact all of the organs involved in singing which makes it especially sad for performers.,
LukeW_47ag,2022-05-30 22:24:30+00:00,en,1,0,1,2,"All officially released Twelvety9 music has just been submitted to Free Music Archive.
https://t.co/ax2UbvQ7il",https://freemusicarchive.org/music/twelvety9/
WrestleVaux,2022-05-30 20:04:55+00:00,en,0,0,0,0,"Just ran an inventory of my theme music archive that covers WWE, WCW, ECW, and AEW.

912 different themes.

Feels odd to be 88 short of 1,000 collected over the years.

It's not a full archive, but the ones I vibe with.",
TheEdRadioShow,2022-05-30 16:09:11+00:00,en,0,0,0,0,"#radio #dogs #MemorialDay 
Yes...we just had a request for 'Over There'! Spuds actually had it in his music archive!
https://t.co/1ltEG3IFNA",https://www.youtube.com/watch?v=B6hRDS3LvQQ
MDMArchive,2022-05-30 08:26:00+00:00,en,22,2,8,6,"If it's Manchester music - bands, venues, people or places - We want it to be part of the Manchester Digital Music Archive. 
We'll be at Manchester Central Library on Saturday 11th June for a scanning session as part of @MCRHistFest

#MHFest #Manchester #Manchestermusic #archive https://t.co/1VRgAPQxcl",
CameronLamMusic,2022-05-30 03:16:32+00:00,en,0,0,0,0,"For anyone craving more #AussieArtMusic - the Australian Art Music Archive has also been updated.

There's 944 great pieces of music by more than 450 different Aussie composers, 97+ hours to discover!
https://t.co/7jDJuEp2SV",https://open.spotify.com/playlist/4vXvlZpSaK0A6cM2lcAZEw?si=4b6249675dd748ca
The_ManFT,2022-05-29 22:15:27+00:00,en,1,0,1,0,"@TheRealObamaPR There is a smash music archive where you can download nus3audio or whatever it is called, but you will still have to convert that to the correct song to overwrite it",
FillP,2022-05-29 19:09:23+00:00,ja,0,0,0,0,やっぱり2015: Cascades of Sound and Light Splintering the Shadows of Your Waking Conciousness (v8)だなーってなってもう20年になろうとしてるので怖い - Free Music Archive - Artist: Wrexsoul https://t.co/aYgmKOSjFI,https://freemusicarchive.org/music/Wrexsoul
Coolness941,2022-05-29 18:00:37+00:00,en,23,0,0,4,"@thecozyboye For me, it’s Burna Boy sampling it on his recent single and Black Music Archive on YouTube recently did an amazing vocal analysis on her.",
turboville1138,2022-05-29 16:57:03+00:00,en,5,0,0,2,"Well look we got here : Goose from Fri, May 27, 2022 &amp; Sat May 28, 2022 at Westville Music Bowl on Live Music Archive! https://t.co/Vq72fD4s9n  https://t.co/pKYwPn6uSt Thanks Tapers!!! You are Amazing  https://t.co/ePaYrQwNcK","https://livemusicarchive.app/music/artists/GooseBand/recordings/goose2022-05-27.spyder9.flac16, https://livemusicarchive.app/music/artists/GooseBand/recordings/goose2022-05-28.spyder9.flac16"
