user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
AnneAnd59185576,1532871076103204864,2022-06-03 23:45:18+00:00,en,0,0,0,0,@able1954 My music collection goes back to 1973 lol,
orcinus_,1532870468776374272,2022-06-03 23:42:53+00:00,ja,0,0,0,0,"クリア盤まだ在庫あるな
Check out KONAMI KUKEIHA CLUB Gradius: Rebirth (Soundtrack) on Ship To Shore US at Juno. https://t.co/dU3RReLrBa #junorecords 

Konami Game Music Collection Vol 2 Coming soon
https://t.co/PejxJbBABQ
え～、ほんとに？(;´Д`)トライゴン好きだけど…","https://www.juno.co.uk/products/konami-kukeiha-club-gradius-rebirth-soundtrack/818128-01/?utm_source=818128-01&utm_medium=share_this&utm_campaign=Twitter_share, https://www.juno.co.uk/products/konami-kukeiha-konami-game-music-collection-vol/879791-01/"
hina_momo_og,1532869856525176837,2022-06-03 23:40:27+00:00,ja,0,0,0,0,"【予約】「MANKAI STAGE『A3！』ACT2！ ～SPRING 2022～」MUSIC Collection/春組（MANKAI STAGE）
エーステ　エースリー　30

発売日： 2022/7/6

https://t.co/52Sz2BUc7l",https://al.dmm.com/?lurl=https%3A%2F%2Fwww.dmm.com%2Fmono%2Fcd%2F-%2Fdetail%2F%3D%2Fcid%3Dcd_244pccg2150s%2F&af_id=shoutneko-013&ch=toolbar&ch_id=link
abatagestudios,1532867235877994496,2022-06-03 23:30:02+00:00,en,0,0,0,0,"Number 1 Angel (2017 / 0:38) by Charli XCX

I'm putting my music collection on shuffle and drawing whatever album plays next. The only rule is to finish the drawing before the album ends! These are my BADLY DRAWN ALBUM COVERS!

#badlydrawnalbumcovers #music #art #charlixcx https://t.co/ta8Yc16jg6",
aohi_yuki,1532865988336955392,2022-06-03 23:25:05+00:00,en,2,0,1,0,NOSTALGIA Music Collection 〜Op.1 &amp; Op.2〜 https://t.co/oX6PaF62S3,
MusicWildemann,1532865437549068295,2022-06-03 23:22:54+00:00,en,0,0,0,0,"@agnes_eth Sound on 

""TAKIWATANGA “ (each person's own space and time) 
is my first Music NFT in @foundation
a Soundscape for my Cinematic Music Collection
Take a listen 
Living Cover by @PolyCalumma

https://t.co/oZzkBpIZi7",
Stevecathutch,1532865270716538881,2022-06-03 23:22:14+00:00,en,0,0,0,0,"Don't think I've heard the term 'yacht rock' before, strange as it would seem to account for about half of my music collection according to this #bbc4 doc. Smooooooth, American soft rock #Eagles #DoobieBrothers #SteelyDan #HallAndOates #FleetwoodMac",
MusicWildemann,1532864126715822086,2022-06-03 23:17:41+00:00,en,0,0,0,0,"@BensonJ32942906 @CryptoKing85 Sound on 

""TAKIWATANGA “ (each person's own space and time) 
is my first Music NFT in @foundation
a Soundscape for my Cinematic Music Collection
Take a listen 
Living Cover by @PolyCalumma

https://t.co/oZzkBpIZi7",
MusicWildemann,1532861300186955776,2022-06-03 23:06:27+00:00,en,0,0,0,0,"@ADuocrypto @rohitjalan_in Sound on 

""TAKIWATANGA “ (each person's own space and time) 
is my first Music NFT in @foundation
a Soundscape for my Cinematic Music Collection
Take a listen 
Living Cover by @PolyCalumma

https://t.co/oZzkBpIZi7",
aterban158,1532858835441950720,2022-06-03 22:56:40+00:00,en,2,0,1,0,"@MasoudHeydarian @ardavan_ pleasure is mine buddy. Your music collection is dope. 
#MusicNFT",
