user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
djprogram,1528132117984681987,2022-05-21 21:54:22+00:00,en,0,0,0,0,"Just loved ""Si Thompson - Seduction Back To 93-95 Album Mix (12-5-2022)"" by The Rave Music Archive on @mixcloud https://t.co/U4FIbHQfI9",https://www.mixcloud.com/The_Rave_Music_Archive/si-thompson-seduction-back-to-93-95-album-mix-12-5-2022/
FromBrazier,1528089109834747904,2022-05-21 19:03:28+00:00,en,5,0,0,0,"I published my story about #Ramones' song earlier today (21 May and there was a reason for it). It's also a bit personal story. Please check. Thank you.
Music Archive, Part XVIII ~ Ramones: Sheena Is a Punk Rocker https://t.co/dW2LruIcE1",https://talesfromthebraziersgrotto.wordpress.com/2022/05/21/music-archive-part-xviii-ramones-sheena-is-a-punk-rocker/
fogelnet,1528029590093869056,2022-05-21 15:06:58+00:00,en,0,0,0,0,"Grateful Dead - Sat, May 21, 1977 at Lakeland Civic Center on Live Music Archive! https://t.co/rrLJ3speY3",https://livemusicarchive.app/music/artists/GratefulDead/recordings/gd77-05-21.sbd.boyle.271.sbeok.shnf
MemoryLoss___,1528012622884352000,2022-05-21 13:59:33+00:00,en,1,0,1,0,@TheBirdySitter @Ninutwt The music archive in my school would have been ideal. It was hidden away and not many people knew about it. One rickety stair/ladder up to its loft and plenty of old instruments to use in defense. Ever been fought off with an Alto clarinet? Didn’t think so.,
MDMArchive,1527952955109949445,2022-05-21 10:02:27+00:00,en,6,1,1,3,"We are very excited to be part of the Manchester Histories Festival 2022 which runs from Wednesday 8th June – Sunday 12th June 2022.

We'll be showing how your memorabilia can become part of the Manchester Digital Music Archive. 

https://t.co/RdYiPn5dEp

@MCRHistFest
 #MHFest https://t.co/k5dciZIwrS",https://manchesterhistories.co.uk/our-festival/manchester-histories-festival-2022/
nlsrarebooks,1527907047148331008,2022-05-21 07:00:01+00:00,en,12,1,0,3,Today is #worldfiddleday. Why not try #musicathome with some fiddle music by Neil Gow (1727-1807) from the famous Gow fiddle family? The music is at https://t.co/09BbkaMuZt. https://t.co/Rq2DOCA3Ar,https://digital.nls.uk/105681747
Janeydonald,1527900323007942656,2022-05-21 06:33:18+00:00,en,14,1,1,6,"I’ll be ⁦⁦@mcrhistfest⁩ on Sat 11th June   with ⁦@MDMArchive. Bring your music related items to add and see how you can create exhibitions like this one.  ⁩    
Suffragette City - women in Manchester music - Manchester Digital Music Archive https://t.co/flUKOa3Otq",https://www.mdmarchive.co.uk/exhibition/664/suffragette-city-women-in-manchester-music
FromBrazier,1527850934390358017,2022-05-21 03:17:03+00:00,en,2,0,0,0,"I wrote a bit about a #Ramones song that led me to their music. This was released 45 years ago in the UK, and #OnThisDay it was no. 22 on the charts.
@Neilw747, #Sheena_Is_a_Punk_Rocker 
Music Archive, Part XVIII ~ Ramones: Sheena Is a Punk Rocker https://t.co/dW2LruIcE1",https://talesfromthebraziersgrotto.wordpress.com/2022/05/21/music-archive-part-xviii-ramones-sheena-is-a-punk-rocker/
DJKNIGHTRIN,1527782790921601024,2022-05-20 22:46:16+00:00,en,0,0,0,0,Robert Plant Plans to Have Unreleased Music Archive Unveiled When He Dies https://t.co/QGdPjpLen4 via @consequence #deejay #privateevent #dance #music #floorlighting #fun #playlist #djservice #celebration #djsetup,https://cstu.io/1f7d99
aiwfcidevin,1527772146293932032,2022-05-20 22:03:58+00:00,en,2,0,1,1,@virgostan99 @justbrowsing4u @jaylambily @Vladsworld_ @kallmekam_ Courtesy of Black Music Archive on YouTube love https://t.co/uT20JHP6aT,
