user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
EdHarrisMusic,2022-01-30 21:30:13+00:00,en,1,0,0,1,"""Foggy Dew"" Album Review now available on ""Making a Scene"" Music Magazine! https://t.co/bxQZ2zsOMr #Tune https://t.co/HMIJcYmmtN","https://buff.ly/32iq8gg, https://buff.ly/2VuvncS"
Lady_Astor,2022-01-30 19:42:52+00:00,en,5,0,0,0,@husafell_stone 100%. I wonder if people have amnesia. Don’t they remember how they were themselves? I do. At 16 I was finishing HS and had a job at a music magazine. I also had a steady bf. I was certainly not a child.,
ENDS_Music,2022-01-30 18:41:00+00:00,en,0,0,0,0,Want GURANTEED Posting to music blogs and online magazines click here #Music #Magazine https://t.co/V18ZG9fo7S,https://www.endsmedia.stream/p/subscribe-to-ends-media-for-free.html
Vincentvega56,2022-01-30 17:45:38+00:00,en,0,0,1,0,"@RobertVonB1 @Eric151805471 @carstyley @Jrfitzg @Madisontx76 Lol. He holds the patents because he was one of the original co creators.

And you still have yet to post actual lies from rogan. All you idi0ts have are opinions from a hit peice by a washed up music magazine

Oh yeah, and rolling stone was caught lying about rogan.",
DanaScu64550786,2022-01-30 17:41:15+00:00,en,4,0,1,0,"poor @RollingStone they used to be a music magazine, now they're just irrelevant lol WTF is a Nils Lofgren? a choir boy kneeling mat? https://t.co/5dabIZD2Fs",
SilverAgeTV,2022-01-30 17:37:47+00:00,en,228,4,2,27,"#MorkAndMindy stars #PamDawber and #RobinWilliams appeared on the cover of the rock music magazine ""Circus"", dated January 30, 1979. https://t.co/9QQgUDRDta",
PortalTaxiMusic,2022-01-30 16:40:28+00:00,en,0,0,0,0,The latest The Indie Music Magazine! https://t.co/kWS57KnT05 Thanks to @s_vickman #music #bts,https://paper.li/PortalTaxiMusic/1519749509?share_id=54de1160-81eb-11ec-b594-fa163e1a70d7
BBCPhilharmonic,2022-01-30 16:40:06+00:00,en,6,0,0,1," It's time to test your grey matter with this potato-themed classical quiz from @MusicMagazine.

There's a combination we never thought we'd be writing about...

#SpudLuck

https://t.co/zXMZgiWA2M",https://bbc.in/33xHdqv
rodyceagan,2022-01-30 14:35:24+00:00,en,10,0,2,0,@RollingStone I thought this was a music magazine?,
sjgiardini,2022-01-30 14:09:04+00:00,en,2,0,1,2,"@MUGGER1955 reportedly he said it in 1985 during an interview with the british weekly music magazine ""melody maker.""  i've never actually read the piece.  anyway, i look to my old pal @LukeGofannon when it comes to questions about young neil...",
_dj_ambitious,2022-01-30 12:19:33+00:00,ja,1,0,0,0,"これら　#cm 記事を翻訳できるようになれば海外の最新ソフトの情報をいち早く
伝えれるようになって、これまた楽しみが増える。ありがとう！

big thanks to Computer Music Magazine ! https://t.co/QjMGEnW63N",
akira_viola,2022-01-30 12:16:31+00:00,ja,8,0,0,0,"新宿まで出かけたので、
タワーレコードに寄って見ました！

まちだガールズ・クワイア
アルバム『オリオン座流星群』売場

満点レビュー掲載の MUSIC MAGAZINE誌、
フリーのbounce誌も置かれていました。
#町ガ https://t.co/6TgnmhOxx3",
BoobPunchTina,2022-01-30 11:30:27+00:00,en,0,0,1,0,"@Beakmoo It was a music magazine. It wasn’t around that long, maybe a decade or so? I don’t know if I ever saw a copy here in the States.
Not sure I even know how I heard of it, for that matter.",
Zillaman203,2022-01-30 10:43:19+00:00,en,0,0,0,0,@XXL We talking semen retention and not about his music in a music magazine? It's obviously slow for you.,
ruisgoncalves,2022-01-30 09:43:19+00:00,en,8,1,1,1,"#BenidormFest
#FestivaldaCancao  2021 SEMIFINAL jurors:
Marta Carvalho (Singer &amp; Composer)
NBC ("")
Paulo de Carvalho ("")
Rita Carmo (Photographer from Blitz [music magazine])
Rita Guerra ("")
Vanessa Augusto (Antena 3 - ""The pop alternative.""; ""The new Portuguese music radio."") https://t.co/4WCAtNlomI",
DonELichterman,2022-01-30 09:06:01+00:00,en,0,0,0,0,Sunset Music News: Concrete Colossus releases latest album ‘Dead Man’s Hand’  – IndiePulse Music Magazine at https://t.co/UBhWuuWX6n https://t.co/dBpkAuT5rn,"https://SunsetRecordings.com, https://sunsetrecordings.com/MusicNews/2022/01/30/concrete-colossus-releases-latest-album-dead-mans-hand-indiepulse-music-magazine/"
jzzzindaeyo,2022-01-30 08:08:59+00:00,en,5,0,0,6,"Guys we have 6 #UMAD videos to stream!

MV
https://t.co/xezF48bWiY
Special Video
https://t.co/BZx83D5RX4
Vertical video
https://t.co/PzolTmqPJT
Seoul Music
https://t.co/I7CFSRI66C
Magazine live
https://t.co/8LQEWXWsiW
Kcontac 3
https://t.co/Qix977VjRm

#BOBBY #바비 @bobbyranika https://t.co/PFJs3jUAqh","http://youtu.be/DGXbNENEpwM, http://youtu.be/jz5gZeDgiPs, http://youtu.be/_EEmu0wzOMQ, http://youtu.be/PjtuCQX79RY, http://youtu.be/I03sUDpMe1s, http://youtu.be/-pmBEt5x_kA"
kuuhaku_kikan,2022-01-30 07:03:54+00:00,ja,2,0,1,0,"Pocketmags で Computer Music magazine のバックナンバーが￡1。取りあえず￡1で買える一番新しい奴を買って目当ての Zebra CM を貰った。それ以外にもこれまでに蓄積されたエフェクトやサンプルやインストゥルメントが山ほど貰える
https://t.co/uEGgSuOlGp",https://pocketmags.com/us/computer-music-magazine/january-2022
