user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
MaliFlor21,1528162832994275328,2022-05-21 23:56:25+00:00,es,11,1,0,15,"Comenzamos una nueva semana para votar en digital Music Library TOP40 semana 21 

•Before 4:30 (She Said…) 
•Our Time 

 https://t.co/zMh9ayidhE

También no olviden hacer streaming en YT y Spotify.

¡ Good Mewning ! 
#MewSuppasit 
#MewSuppasit_OurTime 
@MSuppasit https://t.co/hm3uLmkT5V",https://poll-maker.com/poll4352107x964246e8-137
zackps3_,1528161685122392065,2022-05-21 23:51:52+00:00,en,1,0,1,0,"Hey guys, what’s your favorite song? If I enjoy it, I’ll add it to my Apple Music library! So, reply to this tweet with your favorite song!",
InfantaRaquel,1528158927510065153,2022-05-21 23:40:54+00:00,en,1,0,1,0,"Music library: *on shuffle*

BAGPIPES START BLASTING

Me, with a Scottish burr: Aaaah, The Black Bear https://t.co/HclkhzmjuE",
Itsben1week,1528157912547328000,2022-05-21 23:36:52+00:00,en,7,0,0,0,"concept: a little neighborhood library but you can put CDs in there. a little neighborhood MUSIC library eh? 

my dissertation committee chair: you moron. you absolute ignoramus.",
Mndcrcs,1528156763563954178,2022-05-21 23:32:18+00:00,en,3,0,1,0,@SnazzyQ and the best thing about it is that when you are moving and change your apple id country - you LOSE ALL the music library and there is no way to keep it,
ClonedMagdy,1528152948605337601,2022-05-21 23:17:09+00:00,ar,3,0,1,0,بقالي كتير أوي مسمعتش منير، زمان كان واخد مساحة أكبر من كده في ال music library بتاعتي,
sparkless254,1528151587453128706,2022-05-21 23:11:44+00:00,en,1,0,0,0,@syedsaadahmed20 I keep on shuffling my playlist actually. There's nothing consistent when it comes to my music library ,
RLeBonTennant,1528132715207352321,2022-05-21 21:56:45+00:00,en,0,0,0,0,@honeygarfunkel Who are some of the gay icons that are in your music library?  Xxxx,
itsthatbitchdev,1528130446084542464,2022-05-21 21:47:44+00:00,en,0,0,1,0,@NotLarrayy_ do my music library next,
demic_goddess,1528115255867580417,2022-05-21 20:47:22+00:00,en,0,0,0,0,"Asabe, Iman and Fati have been amazing for my music library.",
meetka,1528112005210595329,2022-05-21 20:34:27+00:00,en,50,0,0,0,"its a beautiful day in midtown, today i ate a cajun chicken sandwich and i mixed together harissa and mayonaisse, had a glass of lillet and strolled around flatiron listening to my entire music library on strict shuffle. weightless energy today. chamber orchestra in a few hours",
tsukirry,1528100350573481986,2022-05-21 19:48:08+00:00,en,2,0,0,0,omg  i forgot that i had saved the leaks into my music library and i played harry on shuffle and hunger started playing and i was so ?? bc i was like this is not harrys house how did i forget a song from before fjhdkk,
finityfund,1528099999841538048,2022-05-21 19:46:45+00:00,en,0,0,1,0,"Since its introduction over 20 years ago, #iPod has captivated users all over the world who love the ability to take their music with them on the go. Today, the experience of taking one’s music library out into the world has been integrated across #Apple’s product line",
keeponearping94,1528099464795172865,2022-05-21 19:44:37+00:00,en,0,0,0,0,Nickelbacks song Next Contestant did not age well. Yeesh. It just came on on shuffle of my entire music library which is huge. ,
