user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
BluesMusicMag,2022-05-01 23:10:04+00:00,en,5,0,0,1,"Thank you to the advertiser listed below for supporting Blues Music, Blues Musicians, and Blues Music Magazine. Visit them online, you’ll get the blues… https://t.co/Ecyi42LS6c",
RadioNightwatch,2022-05-01 21:54:38+00:00,en,0,0,0,0,"Top story on Radio Nightwatchman God 1st! #MusicLov3rz Independent Music Magazine &amp; Radio : Psalm 119:105 https://t.co/3lLkY2yjmK, see more https://t.co/riCwS9J46A","https://lov3rzcommunity.blogspot.com/2020/04/psalm-119105.html, https://tweetedtimes.com/RadioNightwatch?s=tnp"
edithsitwell,2022-05-01 21:50:39+00:00,en,0,0,0,0,The best music magazine in Britain. Fact. https://t.co/SsjQVNOucN,
MichaelCorey11,2022-05-01 21:33:39+00:00,en,0,0,0,0,What happened to Rolling Stone? It used to be a a music magazine and now it is slanted to the left and full of false facts and innuendo. It’s a crying shame. Trump to Appear Alongside GOP Candidate Accused of Groping Eight Women – Rolling Stone https://t.co/NjyVG2TD6G,https://www.rollingstone.com/politics/politics-news/trump-charles-herbster-eight-women-accuse-groping-1345776/#utm_medium=social&utm_source=twitter&utm_campaign=social_bar&utm_content=top_amp&utm_id=1345776
david_linklater,2022-05-01 21:25:53+00:00,en,1,0,1,0,@pinkfgirl @xAbbottx Plus every music magazine printing press had to create special fonts for these. Good thing it sold more than a few copies to make it worth their while. https://t.co/nleogbFyII,
BluesMusicMag,2022-05-01 21:10:05+00:00,en,2,0,0,0,"Thank you to the advertiser listed below for supporting Blues Music, Blues Musicians, and Blues Music Magazine. Visit them online, you’ll get the blues… https://t.co/fG5Ymh21fN",
TheLisaOHare,2022-05-01 21:03:19+00:00,en,0,0,2,0,"For a thing I know there was another fairly big pop music magazine than smash hits in the 80s but can’t recall the name…  not nme/melody maker… I’m thinking about teeny bop zines … pre TOTP magazine…
Did one exist ?",
chladek_david,2022-05-01 20:17:44+00:00,en,0,0,0,0,Just submitted to be featured in Americana Rhythm Music Magazine! Check them out!  https://t.co/tJDDtJuZgP  #np #music #dance #fun #now #rock #punk #funk #jazz #original #radio #singer #radio #guitar #video,http://www.facebook.com/pages/Americana-Rhythm-Music-Magazine/161851670739
archieguitarz,2022-05-01 20:06:45+00:00,en,0,0,0,0,"Cristal Ramirez of THE ACES rock the stage at Bunbury Music fest! @cristalramirezz @theaces Cincinnati, OH June 2, 2019  Michael Deinlein Rock All Photography Music Magazine @rock_all_photography_and_music https://t.co/oPLh030LMQ",https://www.instagram.com/p/CdBzrROO7-o/?igshid=YTgzYjQ4ZTY=
SkKOaO,2022-05-01 19:13:34+00:00,en,2,0,2,0,@larriex_s @sagexwallss Kurt died the day of my 12th birthday and I found out weeks later from a youth music magazine. Photos of the scene and all. I was devastated.,
