user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
muchadoaboutliz,2022-04-29 23:58:49+00:00,en,3,0,2,0,Can we make sure we don’t get a pick presenter like that again? No offense Minnesota but I do not need an oral history of drafts in the late 60s/early 70s,
pythagoNRL,2022-04-29 23:46:09+00:00,en,5,0,2,0,Finished reading last night. Highly recommended oral history/sequel to Colman's book about the Super League war. https://t.co/ubsSY4nWvL,
BagleyAlice,2022-04-29 23:33:33+00:00,en,2,0,0,0,"@radbrowndads Also, you are clearly not the right audience for this but I like this Rolling Stone article about Smooth: https://t.co/B05phEjP5a",https://www.rollingstone.com/music/music-features/santana-rob-thomas-smooth-oral-history-841189/
BookKnocks,2022-04-29 23:25:59+00:00,en,0,0,0,0,A hilarious oral history with heavy doses of Spinal Tap. #BiographicalFiction #Humorous #Fiction @NickG_author https://t.co/wPYNkhgEVc https://t.co/6I2owa3EHX,https://www.amazon.com/dp/B09NGQM5MP/
CityofPhoenixAZ,2022-04-29 23:13:01+00:00,en,4,0,0,5,"What's your #PhxJuneteenth story? We're looking for residents to share their stories for a Juneteenth documentary and oral history project with the @CityofPhoenixAZ! 

Nominate friends, family members, or even yourself. The deadline is May 15. https://t.co/4DAdZhG9fz https://t.co/YNjcEX4Aaf",https://bit.ly/3xUEoNa
RuffsStuffBlog,2022-04-29 23:12:41+00:00,und,3,0,1,0,https://t.co/P4bi5LNwsk,https://www.nylon.com/entertainment/oral-history-marina-the-diamonds-electra-heart-10-anniversary
kanra__,2022-04-29 23:10:14+00:00,en,0,0,0,0,@CoffeeCatVenti https://t.co/EJdh2IzAn7 I AM GOING INSANE,https://www.vulture.com/article/an-oral-history-of-disney-the-emperors-new-groove.html
wagssid,2022-04-29 22:58:00+00:00,en,0,0,0,0,I need an oral history on this https://t.co/CmbhEELuEM,
emigrl,2022-04-29 22:46:58+00:00,ja,2,0,1,0,Viral Cultures: Activist Archiving in the Age of AIDS https://t.co/et8G96EGyX がという本が６月に出版されるらしい。ここ１年でACT UP Oral History Projectの本とかGran Furyの本が出たけど、AIDSアクティビズムが残したアーカイブについてのこの本も楽しみ。,https://www.upress.umn.edu/book-division/books/viral-cultures
egyptmigrations,2022-04-29 22:43:58+00:00,en,24,5,0,14,"Paid Internships 
It's that time of year again:

Our Internship Program is back for summer 2022!

We're looking for:
 A Writing Intern
 Oral History Interviewer Interns
 A Content Creator Intern

Check out the postings here: 
https://t.co/hkFwFosnGD",https://egyptmigrations.com/internships/
bp22,2022-04-29 22:43:16+00:00,en,4,0,0,0,@BrianRoemmele @TonyRush No respect for oral history,
irish_eagle,2022-04-29 22:42:24+00:00,en,0,0,1,0,"@jimfoley Anyone ask him about the Boston College project (N Ireland oral history)?

Just wondering if that's completely forgotten.",
TLMI,2022-04-29 22:40:44+00:00,en,0,0,0,0,40 Years of Putting People First: An Oral History of Great Little Box Company https://t.co/axlOUBdcHU https://t.co/f0Qk6pDOY0,https://tlmi.com/news/40-years-of-putting-people-first-an-oral-history-of-great-little-box-company
TheGurglingCod,2022-04-29 22:35:42+00:00,en,7,0,2,0,I would also love an oral history of the One White Friend who always turns up in the crew of the Black draftee in these shots.,
CeciliaMilanes,2022-04-29 22:08:29+00:00,en,7,0,1,3,"Celebrated @ninamarielop at the @burnetthonors college medallion ceremony. Her Honors Undergraduate Thesis ""The Spicy Girls:  Writings on the Lived Experiences of Latinas as the Exotic 'Other'” was a delightful collection of prose, poetry, &amp; oral history. Brava! @ucf_english https://t.co/Y7BXPMv6jE",
BCMuseumsAssn,2022-04-29 22:05:02+00:00,en,2,0,0,1,"Looking for some listening material as you head into the weekend? Episode 3 of Queer(y)ing Museums is now available! In this episode, Carmel Tanaka and Alysa Rutenberg join us to chat about the BC Jewish Queer &amp; Trans Oral History Project.

Listen here: https://t.co/Ze9o9jx7vt https://t.co/KehwZBbrz5",https://www.podbean.com/media/share/pb-rwn2x-12139c0
agtk,2022-04-29 21:55:01+00:00,en,1,0,0,0,"I'd never read this before, but I'm very glad Eater Seattle pointed me to it. https://t.co/Ff443kqjn6",https://www.seattleweekly.com/food/the-seattle-dog-an-oral-history/
ACAUBC,2022-04-29 21:51:37+00:00,en,1,0,1,0,"@archivalobjects @Sam_Winn Q1: Can you speak to your experiences with the role of community ownership of oral history and how it is carried forward in an archival setting? Eg, acknowledging it as a product of a community and in their possession for legal copywrite purposes? #ACAUBC2022",
Dr_Phalin,2022-04-29 21:41:45+00:00,en,52,0,5,4,"ATTENTION ATTENTION  My baby brother, @drewboles, has appeared in @voguemagazine, along with a dress he designed &amp; made. #RomyAndMichelesHighSchoolReunion  
https://t.co/58VvLCJNvx 
cc: @LisaKudrow @MiraSorvino @CamrynManheim 
@Alancumming https://t.co/iIoQYsajDo",https://www.vogue.com/article/an-oral-history-of-romy-and-micheles-high-school-reunion
Michelle_Loxton,2022-04-29 21:22:19+00:00,en,0,0,1,0,"With Buddy’s help and through Cerisa’s oral history I was able to create the latest episode of The One Oh One podcast – ‘The story of a Black nurse no hospital would hire’. 8/9

https://t.co/d91C7KjaRf",https://www.kclu.org/theoneohone/episode11/cerisa
Michelle_Loxton,2022-04-29 21:22:14+00:00,en,1,0,1,0,"With the help of @MuseumVenturaCo I was able to find an oral history recorded by Cerisa in 1980, when she was 82. 4/9 https://t.co/ZRsqQUJhf8",
KudrowBr,2022-04-29 21:19:48+00:00,und,1,0,0,0,https://t.co/PkUqV9wUpJ,https://www.vogue.com/article/an-oral-history-of-romy-and-micheles-high-school-reunion
GrantHayter,2022-04-29 21:13:54+00:00,en,1,0,0,0,Here he is in an interview many years later. https://t.co/iLe2g2oYMZ https://t.co/1ldRH2qbV7,https://encyclopedia.ushmm.org/content/en/oral-history/sandor-shony-alex-braun-describes-playing-the-violin-for-ss-guards-in-dachau-after-two-prisoners-before-him-had-been-killed
DuqHistory,2022-04-29 21:13:20+00:00,en,26,0,1,6,"Congratulations to first year Public History graduate students, @KatieeB24,@HannahLecomte, @makennagraves_ on presenting your work this afternoon at the Oral History in the Mid Atlantic Region conference! 

@OHMidAtlantic https://t.co/jz61hmFmkv",
voiceofwitness,2022-04-29 21:13:08+00:00,en,2,0,0,0,"Nationwide, about one out of every 10 public school students is learning to speak English.

Oral history is a valuable tool for language learners in a variety of classrooms.

Learn more and get resources from VOW's Erin Vong in @edutopia:

https://t.co/J1Ex9YTHYq",https://www.edutopia.org/article/benefits-oral-history-projects-multilingual-learners
GrantHayter,2022-04-29 21:11:40+00:00,en,0,0,0,0,@HolocaustMuseum Here he is being interviewed many years later. https://t.co/iLe2g2oYMZ,https://encyclopedia.ushmm.org/content/en/oral-history/sandor-shony-alex-braun-describes-playing-the-violin-for-ss-guards-in-dachau-after-two-prisoners-before-him-had-been-killed
iwburg,2022-04-29 21:09:04+00:00,en,24,0,0,5,Aah I was just secular praying that someone wrote an oral history of @MissyElliott @xtina @Pink @MYAPLANET9 “Lady Marmalade!” Though I was hoping for @ultimatepatti too. By @billboard:  https://t.co/SvZ6bIfXxF,https://www.billboard.com/music/pop/lady-marmalade-oral-history-moulin-rouge-interview-9551859/#utm_medium=social&utm_source=twitter&utm_campaign=social_bar&utm_content=bottom_amp&utm_id=9551859
Mirayhp,2022-04-29 21:08:29+00:00,en,36,3,1,12," Opportunity: Paid Summer Internship with @egyptmigrations

Are you interested in writing? Oral history interviews? Content creation? Consider contributing your skills to preserving the stories of Egypt's migrants!

I'm happy to answer questions.
https://t.co/KPsrVryeF6",https://egyptmigrations.com/internships/
shahanLA,2022-04-29 21:04:32+00:00,en,60,1,1,15,"Vitti said the same, too, in the same story. Btw This is from a terrific oral history of Dr. Buss from a bit ago. Recommend it for anyone who wants to get a better understanding of why Dr. Buss was the greatest owner in sports: https://t.co/BdQwhLVipa https://t.co/pakUn2imoh",https://www.nba.com/lakers/news/021020-dr-jerry-buss-oral-history-greatest-owner-in-sports
ArtsOfExistence,2022-04-29 20:59:44+00:00,en,5,0,0,1,"#Literature Svetlana Alexievich, ""Secondhand Time: An Oral History of the Fall of the Soviet Union"".",
