user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
tuomas_ee,2022-01-30 16:27:08+00:00,en,25,3,0,8,"Interested in high-quality musicology research and want to do a 2 year postdoc in the UK? If the answer is yes, get in touch and we can talk about applying for a Newton International Fellowship. Submission of intent by 9 February to me @MusicDurhamUni. See https://t.co/McgDbWYLx7",https://www.durham.ac.uk/departments/academic/music/research/funding-opportunities/
ancientlyric,2022-01-30 02:03:04+00:00,en,2,0,0,1,"Each instrument in a mix costs $40-60/hour for sound engineer. 

voice + lyre = 2 instruments

I’m at $142/month

Please help my goal of $400/mo making ancient poetry, thru ancient music &amp; research, accessible &amp; enjoyable to the public. 

https://t.co/SnlMXcj38i",http://Patreon.com/BettinaJoyDeGuzman
You_Cef84,2022-01-29 22:54:51+00:00,en,0,0,0,0,Listening to old songs for music research. The riffs ABBA used in their songs are so timeless. I'm pretty sure they would work well in modern times. Gimme Gimme Gimme Trap Remix?,
Crash_Shadow_,2022-01-29 20:05:18+00:00,en,8,1,6,0,"What's the last thing you had to research for your writing?

I am currently writing a novel about musicians starting a band, and while I know a lot about music, I'm not much of a musician, so I'm doing a lot of music research.

#WritersQ",
melissachemam,2022-01-29 18:58:32+00:00,en,0,0,0,0,"The British Library launched a major research project and 2024 exhibition to chart the history of Black British music, with the University of Westminster’s Black Music Research Unit. https://t.co/4z6iG8Cxsh",https://www.rollingstone.co.uk/music/british-library-to-track-600-years-of-black-british-music-for-new-exhibition-9690/
Nicoleedits,2022-01-29 15:13:51+00:00,en,1,0,1,0,"@KinshashaC Awww...thanks, Kinshasha! I think this was definitely taken before our trip during the 'aughts' as they call the 2000 years. Anne and Juanita met in 1974. Time flies, doesn't it? Thank YOU, Kinshasha, for bringing me into the world of The Center for Black Music Research. Hugs!",
MrBurnsforPM,2022-01-29 13:51:27+00:00,en,0,0,0,0,"@CanadensisMax 
Not true, millions subscribe for the podcasts not just the music!
Research the numbers, they are obvious! https://t.co/iHLkBBZwMY",
CRHCIUSB,2022-01-29 12:50:00+00:00,en,0,0,0,0,"One person finds a tucked away college archive that helps them connect with their history in a new and deeply emotional way. 

Read about their powerful journey through the Center for Black Music Research in the #CRHCWeekendRead. 

https://t.co/LbtTv1Me75",https://losscaptureproject.cargo.site/More-than-a-Melody-Reimagining-the-Sounds-of-Blackness
KeithJonesJr,2022-01-29 05:14:58+00:00,en,0,1,0,1,Did not know Marsha Ambrosius wrote this. I’m in my music research mode. https://t.co/1DxzqvMsVl https://t.co/b8j4V1i5Y8,"https://hellobeautiful.com/2741812/marsha-ambrosius-michael-jackson-butterflies/, https://music.apple.com/us/album/butterflies/215738269?i=215739439"
ameliamerhar,2022-01-28 22:52:58+00:00,en,2,0,1,0,"Update to genre and length of interviews in #requiem4atour

Punk- 40 minutes 
Folk- 50-65 minutes
Metal- 50-65 minutes
Rock- 50-65 minutes
Rap- 60-95 minutes 
Busker- 80-100 minutes
Jazz- 105 minutes 

This is very endearing, I love it 
#music #research",
