user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
pizzahotline_,1532821699590225920,2022-06-03 20:29:06+00:00,en,5,0,1,0,"This is a various artists tape that features one of my tracks that’s ONLY AVAILABLE ON THIS TAPE - No digital! It previously came out on Around the Wate Cooler Records. 

Link to original release if you wanna check it out
https://t.co/yUI0Rp8ZTy",https://aroundthewatercooler.bandcamp.com/album/hold-music-archive-tape-002
fogelnet,1532724297575194624,2022-06-03 14:02:03+00:00,en,0,0,0,0,"Looking forward to #PhilLesh and Friends at the Frost tomorrow. Reminder: The show will now start at 5:00pm PDT

Phil Lesh and Friends from Sun, Jun 3, 2007 at Mountain Jam on Live Music Archive! https://t.co/Nool745TTj",https://livemusicarchive.app/music/artists/PhilLeshandFriends/recordings/phil2007-06-03.bk4022.acm671.burke.flac16
ratherarthur,1532669957363965954,2022-06-03 10:26:08+00:00,en,13,0,0,0,"3 June 1977. Nigel and I catch Warsaw again, a few days after their Electric Circus debut. The Squat / sweltering day / Stuff the Jubilee banner / also new group The Fall who perform on the floor by an open door. Wrongly printed as 6th June. Pic via Manchester music archive. https://t.co/05Vu5I5YW1",
DoorchaserR,1532666233899851783,2022-06-03 10:11:20+00:00,en,0,0,1,0,"All tracks deleted from this playlist go to the ""A Huge Ever Expanding Archive of Ambient/Glitch/Lowercase music"" Archive playlist.: 

https://t.co/s5tuL3ifg8",https://open.spotify.com/playlist/2F2tgnOlAr507YBJULwciW?si=l4AcQQmgTBGJOVysuScR_A
ikbbfhbkaioth70,1532580085781364736,2022-06-03 04:29:01+00:00,en,0,0,0,0,"@SashaGrey Steam ended
Before
I finished
Streaming
Painting
Can't waste
Excess paint
$#!t is echidna
What? No
Exigencies..eh?
 Sod this. Sorry I missed it Sasha, was streaming myself. Asmr category and free music archive ( https://t.co/1h6PfZ1oRf ) seems to be my niche. Consistence tho,oof",http://fma.com
user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
pizzahotline_,1532821699590225920,2022-06-03 20:29:06+00:00,en,5,0,1,0,"This is a various artists tape that features one of my tracks that’s ONLY AVAILABLE ON THIS TAPE - No digital! It previously came out on Around the Wate Cooler Records. 

Link to original release if you wanna check it out
https://t.co/yUI0Rp8ZTy",https://aroundthewatercooler.bandcamp.com/album/hold-music-archive-tape-002
fogelnet,1532724297575194624,2022-06-03 14:02:03+00:00,en,0,0,0,0,"Looking forward to #PhilLesh and Friends at the Frost tomorrow. Reminder: The show will now start at 5:00pm PDT

Phil Lesh and Friends from Sun, Jun 3, 2007 at Mountain Jam on Live Music Archive! https://t.co/Nool745TTj",https://livemusicarchive.app/music/artists/PhilLeshandFriends/recordings/phil2007-06-03.bk4022.acm671.burke.flac16
ratherarthur,1532669957363965954,2022-06-03 10:26:08+00:00,en,13,0,0,0,"3 June 1977. Nigel and I catch Warsaw again, a few days after their Electric Circus debut. The Squat / sweltering day / Stuff the Jubilee banner / also new group The Fall who perform on the floor by an open door. Wrongly printed as 6th June. Pic via Manchester music archive. https://t.co/05Vu5I5YW1",
DoorchaserR,1532666233899851783,2022-06-03 10:11:20+00:00,en,0,0,1,0,"All tracks deleted from this playlist go to the ""A Huge Ever Expanding Archive of Ambient/Glitch/Lowercase music"" Archive playlist.: 

https://t.co/s5tuL3ifg8",https://open.spotify.com/playlist/2F2tgnOlAr507YBJULwciW?si=l4AcQQmgTBGJOVysuScR_A
ikbbfhbkaioth70,1532580085781364736,2022-06-03 04:29:01+00:00,en,0,0,0,0,"@SashaGrey Steam ended
Before
I finished
Streaming
Painting
Can't waste
Excess paint
$#!t is echidna
What? No
Exigencies..eh?
 Sod this. Sorry I missed it Sasha, was streaming myself. Asmr category and free music archive ( https://t.co/1h6PfZ1oRf ) seems to be my niche. Consistence tho,oof",http://fma.com
