user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
Manx_James,2022-01-31 22:16:21+00:00,en,2,0,0,0,"This evening's fascinating listen couresty of @manxheritage's amazing sound archive...
(With the added bonus of being the 1st oral history interview I've known to have a sweet break in the middle (c.48mins)!):
https://t.co/mW9RhhLrP4 https://t.co/kSbgqQ2xR1",https://www.imuseum.im/search/archive_record/view/40?id=mnh-museum-440707&type=archive&tab=all&from=40&term=%23UOSH&size=20&sort=&filter=&view=&images=&ttmgp=0&rfname=&rlname=&machine=&race=&raceyear=&linked=0&pos=41
klezkanada,2022-01-31 19:32:44+00:00,en,0,0,0,0,"ICYMI, check out the @jewishexponent's heartwarming article about Robert and Molly Freedman, whose Sound Archive includes over 40,000 songs, 5,923 albums &amp; 1,510 pieces of sheet music, featuring everything from Yiddish songs &amp; klezmer to vaudeville acts!
https://t.co/eh2oqRvRmh",https://www.jewishexponent.com/2022/01/13/jewish-music-collection-a-longstanding-labor-of-love/
JenniferACooke,2022-01-31 12:26:00+00:00,en,1,0,0,0,@lit_metal The Beeb has a sound archive.,
SFCFilms,2022-01-31 00:37:53+00:00,en,2,0,0,2,"Less than a week to go till our inaugural film festival at the national film and sound archive.

Use code Sfc5 for 10% of all day tickets when buying your tickets at https://t.co/gGHnXp8Yrm.

#Canberra #filmfestival #canberraevent #SFC #Spacefilms #scifi
#spacedocumentary #NFSA",https://tickets.nfsa.gov.au/Events/Space-Faring-Civilisation-Film-Festival
spacerocks2020,2022-01-30 07:53:40+00:00,en,0,0,0,0,Aussie friends grab a ticket and see Space Faring Civilisation Film Festival at National Film and Sound Archive https://t.co/WT6vQuaVOc #National Film and Sound Archive via @FerveTickets,https://tickets.nfsa.gov.au/Events/Space-Faring-Civilisation-Film-Festival?fbclid=IwAR1cypZsK2UJ8hKCt4cANnW3g-RrsnGaXkMt_onUHMNvjwK1E-VwsegjgTU
MusicEternal1,2022-01-29 17:15:00+00:00,en,0,0,0,0,"Video Interview:
Florida Sound Archive With Sam Rosenthal

https://t.co/OA6OO8RL6v

#Musiceternal #BlackTapeForABlueGirl #Thanatos #ProjektRecords #FloridaSoundArchive #Darkwave #Ethereal #Ambient #GothMusic #ArtRock #UnitedStates https://t.co/JX1FSLsT2t",https://www.musiceternal.com/News/2022/Florida-Sound-Archive-With-Sam-Rosenthal-20220126
op109,2022-01-28 07:11:47+00:00,en,1,0,0,0,"Luciano Berio With The Swingle Singers And The Boston Symphony Play music Of Boccherini, Bach And Berio - 1982 - Past Daily Mid-Week Concert - Past Daily: News, History, Music And An Enormous Sound Archive. https://t.co/CZEFK3ad6B",https://pastdaily.com/2018/09/26/luciano-berio-with-the-swingle-singers-and-the-boston-symphony-play-music-of-boccherini-bach-and-berio-1982-past-daily-mid-week-concert/
Rotten_Ralph,2022-01-28 04:26:02+00:00,en,0,0,0,0,"kallistoi: briarhide: On this day 85 years ago the last known thylacine, ‘Benjamin’, died of exposure in Beaumaris Zoo, Tasmania. The National Film and Sound Archive of Australia (NFSA) just recently released a restored and colourised version... https://t.co/hzORtkV0oW",https://tmblr.co/ZFs-uvbSf9qZ4W00
medianettweets,2022-01-28 02:33:40+00:00,en,7,0,0,1,"Story of the Week: @ABCaustralia's @NikiBurnside details the @NFSAonline's first major exhibition in two decades with 'Australians &amp; Hollywood: a tale of craft, talent, and ambition'. https://t.co/eqAmknEhEt",https://www.abc.net.au/news/2022-01-21/australians-hollywood-exhibition-national-film-and-sound-archive/100770612
bethanmathiasp,2022-01-27 14:52:09+00:00,en,3,0,0,0,@KeepSounds Sad to see it over! Learnt a lot working with you + the sound archive - glad there's some legacy continuing with @MusicForConnect ,
