user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
sevynjX0,2022-05-07 23:55:27+00:00,en,0,0,0,0,"rlly never cared for traditional sheet music. it’s so boring!
I always do my fav songs only lol ",
cazaresjulian14,2022-05-07 23:43:12+00:00,en,1,0,1,0,@Froggyplayzz I was there just not in the photos omg your cakes are too good  I really just want to eat them and so are the beds and the piano with sheet music and everything is very amazing good job,
christophertin,2022-05-07 23:42:34+00:00,en,1,0,1,0,@TheVWDude There will probably be CDs and vinyl but not sheet music or prints. Better to do that from the site (and if you do DM me and I can write something on it).,
dragonomatopoei,2022-05-07 23:36:03+00:00,en,5,0,1,0,okay i am looking at sheet music for this song now and i'm like. well i guess that's one way to arrange it. that's fine. i guess. we all have our interpretations of which parts of a song are best adapted to piano arrangements,
griseolvr,2022-05-07 23:33:17+00:00,en,1,0,1,0,@euseford yeah its a big music / dance school so i think all the violin / strings were togther in one room + the helpers that tune and place the sheet music dear got claustrophobia fr,
dragonomatopoei,2022-05-07 23:28:49+00:00,en,7,0,1,0,i don't want to post sheet music that's not what i want to communicate i want to transmit the vibe of approx ten seconds of a song in an inexpressible format. i want to climb into someone's brain and leave a slice of music in there like a slice of cake in their fridge,
HCA_CatM,2022-05-07 23:23:43+00:00,en,6,0,0,0,"
Solo Guitar / Sheet Music 
Classical Music &amp; Jazz Standards 
（Electric Acoustic etc.）

We think that Rare worldwide ! 
J.S.Bach’s Tunes ! 
Only available here !! 

ー Website / SELECTION（J.S.Bach  etc.）ー
https://t.co/1SXA81sW55",http://hermitage-crabapple.amebaownd.com/pages/811095/page_201701220951
HCA_CatM,2022-05-07 23:23:42+00:00,de,8,0,1,1,"
ー Latest Information ー
Solo Guitar / Sheet Music
22.4.25~New!!

J.S.Bach
Clavier 1-4 Prelude C♯m BWV849
6 kleine Praeludien 5 E△ BWV937
Wachet auf, ruft uns die Stimme Eb△ BWV645

Jazz
I'm In The Mood For Love / Jimmy McHugh

Web / UpList
https://t.co/AQVcwn9sIB",http://hermitage-crabapple.amebaownd.com/pages/812483/page_201701230843
cubytes,2022-05-07 23:17:33+00:00,en,1,0,1,0,"@nickcammarata @christineist well a paradigm drifting towards &amp;or away from who I desire 2become &amp;or make believe? past present &amp; future me?

be that as it may that is merely the sheet music or the cumulative composition of sheet music derived from our memes?

in others words
I'm me
if remembering correctly?",
OneOldMethodist,2022-05-07 23:12:11+00:00,en,0,0,0,0,@emzanotti Prayers that God sends you sheet music for harmonica? Sure. ,
