user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
dianewardmusic,2022-04-29 14:31:36+00:00,en,3,0,0,0,#ICYMI @dianewardmusic interview w/Jess Kaiser for Florida Sound Archive! https://t.co/SLEEiWtuFK https://t.co/NTEnwgu7wW,https://spoti.fi/3MDqpzA
JohnSant87,2022-04-29 12:47:07+00:00,en,6,0,1,4,"• Featured in the Documentary “I Am Heath Ledger” (2017) + in “Heath Ledger: A Life in Pictures” Exhibitions at the Western Australia Museum @WAMuseum in Perth, Western Australia in 2017―2018 + National Film &amp; Sound Archive (NFSA) @NFSAonline in Canberra, Australia in 2018―2019.",
HeathLegend,2022-04-29 12:31:05+00:00,en,6,0,1,6,"• Featured in the Documentary “I Am Heath Ledger” (2017) + in “Heath Ledger: A Life in Pictures” Exhibitions at the Western Australia Museum @WAMuseum in Perth, Western Australia in 2017―2018 + National Film &amp; Sound Archive (NFSA) @NFSAonline in Canberra, Australia in 2018―2019.",
BLSoundHeritage,2022-04-29 08:46:24+00:00,en,0,0,1,0,Listen to more examples of Isicathulo from the @britishLibrary @soundarchive in this @NTSlive radio programme  https://t.co/whoCA8eJQ6,https://www.nts.live/incoming/british-library-sound-archive-south-african-gumboots
rocksound,2022-04-29 00:00:01+00:00,en,48,1,0,6,Frank Iero tells us about putting together his band The Future Violents in this clip from the Rock Sound archive https://t.co/3yjSaLcw28,
MarshBrentnall,2022-04-28 22:48:02+00:00,en,2,0,1,0,"@GrayConnolly Not sure, but you can learn a little more here: https://t.co/ddi16iIcYm as she made the National Film &amp; Sound Archive of Australia.",https://bit.ly/3ODwhdT
rocksound,2022-04-28 22:00:01+00:00,en,10,0,1,1,Blink-182's Mark Hoppus looks back on making the iconic music video for 'I Miss You' in this clip from the Rock Sound archive https://t.co/876HEXEGBq,
Omega_Morris123,2022-04-28 19:00:00+00:00,en,9,0,2,1,"Sonic Dash is now up on the Sonic Sound Archive. Included are just the two tracks unique to the game, tracks taken from other sources are not included.

https://t.co/0Hmv0Obnam",https://www.youtube.com/playlist?list=PLfeMZceyAvdCRM91XzjneJWFg2lOODiIV
realgonerocks,2022-04-28 16:56:07+00:00,en,4,0,0,0,"Imperial Wax Solvent, one of *the* great late-period Fall albums, was released on this day fourteen years ago-ah.

Some thoughts here:  https://t.co/0DwA9CjSSI

#TheFall https://t.co/0AbvvmUTqx",https://www.realgonerocks.com/2020/10/the-fall-fall-sound-archive-vol-5-imperial-wax-solvent/
rocksound,2022-04-27 12:00:01+00:00,en,507,15,0,103,"Happy Birthday to Fall Out Boy's Patrick Stump  

He tells us his top musical festival survival tips in this clip from the Rock Sound archive https://t.co/YuldwYG6VY",
Veritas_KW,2022-04-27 00:26:31+00:00,en,0,0,0,0,"Surely it's time as I've stated for years: that the Hall of Fame award decision-making is entrusted to the custody of both ACMI in Melbourne and the National Film and Sound Archive in Canberra, not a events firm, and not the industry.

#Logies",
rocksound,2022-04-26 16:00:02+00:00,en,13,0,0,0,Blink-182's Mark Hoppus looks back on making the music video for 'The Rock Show' in this clip from the Rock Sound archive https://t.co/BGrKIqsfZq,
archivesplus,2022-04-26 13:40:16+00:00,en,4,1,0,0,Choose your own Chorlton sound archive adventure this afternoon! Free archive goodies for all participants https://t.co/eo5kNR5ta0,
SciFine,2022-04-25 20:17:49+00:00,en,0,0,0,0,"From Museum_SciFi: RT @psychotronica_: Mad Max 2: The Road Warrior
1981 / Australia / George Miller

Behind the scenes footage preserved by the National Film and Sound Archive of Australia https://t.co/uWkPLeNYCb #SciFi",
psychotronica_,2022-04-25 16:43:34+00:00,en,308,9,8,104,"Mad Max 2: The Road Warrior
1981 / Australia / George Miller

Behind the scenes footage preserved by the National Film and Sound Archive of Australia https://t.co/6TDi454rtg",
rocksound,2022-04-25 08:00:00+00:00,en,10,0,0,3,Blink-182's Mark Hoppus looks back on writing the classic 'I Miss You' in this clip from the Rock Sound archive https://t.co/1yppYl1tRl,
rocksound,2022-04-25 00:00:01+00:00,en,30,0,0,4,From the Rock Sound archive: Against The Current talk writing the song 'Outsiders' https://t.co/eBvJ0FGQZZ,
CFCCheersquad,2022-04-24 23:54:43+00:00,en,12,0,1,0,"The Blues won the match (13.11.89 to 10.9.69), with the game raising 248 pounds for the Wounded Soldiers Fund.

Credit for the video goes to the National Film and Sound Archive of Australia.",
rocksound,2022-04-24 18:00:00+00:00,en,13,0,0,2,From the Rock Sound Archive: Patty Walters explains the importance of As It Is' single 'The Stigma (Boys Don't Cry)' https://t.co/Vq19maI0dc,
thdyoung,2022-04-24 16:04:24+00:00,en,1,0,0,0,@DavedinLanglois what is this? a word painting from the sound archive of an authentic ur-primitivist like Rousseau?,
Max92RU,2022-04-23 21:08:05+00:00,en,0,0,0,0,80`s Synthpop (by The Sound Archive) https://t.co/uNpjGdvEJG,http://dlvr.it/SP6vRx
vasiliyygrigor3,2022-04-23 21:08:05+00:00,ru,0,0,0,0,"80`s Synthpop (by The Sound Archive): Жанр: Популярная музыка - Dance / Зарубежные сборники 

Исполниель: Various artists 

Продолжительность: 01:03:53 

Год выпуска: 2022 

Количество треков: 15 

Формат: MP3 

Размер: 159 MB https://t.co/wV4jao3pqu",http://dlvr.it/SP6vRw
Stefanjuk1990,2022-04-23 21:08:05+00:00,ru,0,0,0,0,"80`s Synthpop (by The Sound Archive): Жанр: Популярная музыка - Dance / Зарубежные сборники 

Исполниель: Various artists 

Продолжительность: 01:03:53 

Год выпуска: 2022 

Количество треков: 15 

Формат: MP3 

Размер: 159 MB https://t.co/DfTK3w4p5r",http://dlvr.it/SP6vRv
album_mp3_ru,2022-04-23 21:08:05+00:00,ru,0,0,0,0,"80`s Synthpop (by The Sound Archive): Жанр: Популярная музыка - Dance / Зарубежные сборники 

Исполниель: Various artists 

Продолжительность: 01:03:53 

Год выпуска: 2022 

Количество треков: 15 

Формат: MP3 

Размер: 159 MB https://t.co/z9KonQb41R",http://dlvr.it/SP6vRt
valucevich,2022-04-23 21:08:05+00:00,ru,0,0,0,0,"80`s Synthpop (by The Sound Archive): Жанр: Популярная музыка - Dance / Зарубежные сборники 

Исполниель: Various artists 

Продолжительность: 01:03:53 

Год выпуска: 2022 

Количество треков: 15 

Формат: MP3 

Размер: 159 MB https://t.co/SOaU3eNSIz",http://dlvr.it/SP6vRs
tretjakova_kata,2022-04-23 21:08:05+00:00,en,0,0,0,0,80`s Synthpop (by The Sound Archive) https://t.co/5Fowo6p0ub,http://dlvr.it/SP6vRp
SavidskiyyAnton,2022-04-23 19:18:06+00:00,ru,0,0,0,0,"80`s Synthpop (by The Sound Archive): Жанр: Популярная музыка - Dance / Зарубежные сборники 

Исполниель: Various artists 

Продолжительность: 01:03:53 

Год выпуска: 2022 

Количество треков: 15 

Формат: MP3 

Размер: 159 MB https://t.co/q6Qhpel21m",http://dlvr.it/SP6k5s
